tanggal,sentimen
2022-08-16,Tonton HRD INDOFOOD RELA KELUAR DEMI USAHA INI!! 3 BULAN Punya 7 CabanG OMSET 6 JT / hARI | IDE BISNIS di YouTube https://t.co/Y3PHaVwGlM Menurunkan ego untuk mengangkat harga diri JAUH LEBIH BAIK DARIPADA mempertahankan ego tapi menjatuhkan harga diri
2022-08-16,@oMonolog abis ditolak indofood kk 
2022-08-16,@lnarrr @worksfess aku pernah dapet panggilan intv indofood domain gmail nya @icbp.indofood.co.id
2022-08-16,@FFOODFESS Indofood atau cobain yg pronas bumbu basah gitu enak bangetttttt
2022-08-16,@FFOODFESS racik indofood enak si
2022-08-16,Coba² daftar di PT Indofood dan baru dapet Email buat ikut interview + psikotes TAPI GA KEPIKIRAN KALAU TES NYA DI BEKASIII hari Kamis pulaa kan ya dadak tohgk ada persiapan bokek poll juga
2022-08-16,@lnarrr @kinderrjoyx @worksfess Kalau diarahkan ke ruko. Bukan lokasi kantor Indofood yang resmi di web. Scam!
2022-08-16,@worksfess Nder ikut nitip pertanyaan disini ya kali ada yang paham email panggilan intervew hoax sama asli gimana? Soalnya aku dapet email panggilan interview dari indofood
2022-08-16,#Loker management trainee di #Indofood untuk S1 semua jurusan. https://t.co/7rn2QKLwwu
2022-08-16,Forum Informasi Lowongan Kerja Agustus - Lowongan Kerja PT.Indofood Indonesia https://t.co/7ThK0kSSAO
2022-08-16,Fransiskus Welirang dari PT Indofood Sukses Makmur membahas pengembangan tanaman sorgum untuk alternatif memenuhi kebutuhan pangan nasional. #Sorgum https://t.co/9U9zB3jF2B
2022-08-16,Wadaooww Ada selisih jmlh brg saat muat n bongkar...50 dus ..dapat surat klaim dr pihak @indofood_cbp.. Klo ginie solusi nya cuma 2... 1. Telusuri apa ada kesalahan hitung saat muat n bongkar... 2. Potong uang jalan sopir dgn sistim cicil krn sopir tdk ikut standart SOP..
2022-08-16,Indofood Buka Lowongan untuk Lulusan S-1 Segala Jurusan https://t.co/aUlC9dZKkB
2022-08-16,@Muhammad_Saewad Ikutin bos PT Indofood sukses makmur tbk aja pak :)
2022-08-16,@pawad MERK KECAPNYA APA A. BANGO B. INDOFOOD C. ABC
2022-08-16,@Anna_Louisiana Itu teh..menghindari macet nanti di Padalarang nya Ada 3 titik penyebab macet yg harus dilalui ..1. caringin / indofood. 2. Sekolah Al Irsyad 3 . Rumah sakit kharisma
2022-08-16,@msaid_didu Pak @msaid_didu ada apa ini dgn Sorgum? 2 Juni Presiden mengumumkan menggalakkan Sorgum sbg alternatif Pangan. 13 Agustus Indofood Bakal Kembangkan Mi Instan Berbahan Sorgum. https://t.co/w6kt8k7iGN
2022-08-18,minum susu naga nyemil coklat kismis kripik singkong kacang mede kacang almond meses gopean indofood trus sate ayam lontong
2022-08-18,#UlatBuluOfficialFood 1 ctn - Pop Mie Mini Rasa Ayam Bawang Rp78.000 di toko Indofood Official Store Tokopedia. Bisa bebas ongkir lho. https://t.co/Mhh0Sy1ghh https://t.co/XvfxDufKYz
2022-08-18,Indofood (INDF) ini aneh ya EPS on going 1000an tpi harga masih 6500an. Apa para investor masih kesal sama kasus pinehill sama dividen policy nya ya 
2022-08-18,@tanyakanrl Sumpah rasanya nggak enak udah ditambahin boncabe sama saus sambal indofood tetep nggak tertolong:(
2022-08-18,Ternyata ga cuma di instansi pemerintahan yg ada praktek suap menyuap diperusahaan swastapun skrg sdh terjadi praktek suap menyuap dlm proses perekrutan karyawan spt yg terjadi di PT @indofood_cbp khususnya cabang bjm. Mau jd apa Bangsa ini kl praktek spt ini terus dibiarkan.
2022-08-18,@al_jendra @indofood Nah gitu dong. Tar bagi honornya yaa 
2022-08-18,@al_jendra Wahhh sdh jadi brand ambassador Indomie kah? @indofood 
2022-08-18,Sekarang beli Indofood Ice Cream gak perlu ribet! ㅤㅤ Klik link di bio pesan Indofood Ice Cream Special Delivery lalu tunggu di rumah deh paketnya! #IndofoodIceCream https://t.co/TGDBiVSFsr
2022-08-20,@al_jendra @indofood Bekin ngiler aj Jdi pengen mie
2022-08-20,@al_jendra @indofood Salah! harusnya kenyang kan udah 2 mangkok
2022-08-20,@al_jendra @indofood Eta beutengna Aya Dua tingkat meuren.
2022-08-20,@al_jendra @indofood Mau djarcok nya
2022-08-20,@al_jendra @indofood Gak bagi2 
2022-08-20,@al_jendra @indofood Pakai cabe+cesim duhh mantep bang
2022-08-20,@al_jendra @indofood Yang nraktorrr didepan iya iya gpp.. Dibelakang.. Bused itu perut apa ban dalem trailer 
2022-08-20,@al_jendra @indofood Beuud 
2022-08-20,@al_jendra @indofood Sini aja Om jadi panitia kuda kepang https://t.co/FGd9iPaa9h
2022-08-20,@al_jendra @indofood Naksir gelang nya bos 
2022-08-20,@al_jendra @indofood Teu ngajak
2022-08-20,@al_jendra @indofood 2 mangkuk kurang 3 mangkuk kebanyakan.. Biasanya seperti itu wkwkkww
2022-08-20,@al_jendra @indofood Satu kalo sebungkus gak habis Om tapi kalo 2 bungkus kurang.. 
2022-08-20,Pemilik BCA BRI mandiri Indofood gudang garam Sampoerna. . . Dst dll
2022-08-20,aku mau sungkem sama orang indofood yang ngide bikin sambel bangkok https://t.co/fNJwCxid0i
2022-08-20,Lowongan Kerja di PT Indofood Sukses Makmur Agustus 2022 https://t.co/pWPEwlPIEQ
2022-08-20,Dear @indofood dimana-mana kalo product cuma ganti bungkus doang rasanya tetep ga berubah... Balikin lagi lah Indofood Kare yang bungkus lama + resepnya! Ga enak racikan yang baru... Lama Baru https://t.co/uFmg8ZG0jY
2022-08-20,Baru tau indorent ini juga bagian dari salim group. Sama kayak indomobil indofood dll.
2022-08-20,@GatotArief96 @hidayatwahyu11 @shino66_ @achmawardii @_AwayDay @nessiejudge @InfokomJakmania @DikySoemarno FYI aja ya bang ane kerja di indofood. sering byk hoax kan tiap tahun dari mulai bahan pengawet lah rasanya beda lah dibuat isu di dlm negeri dan luar negeri lah dan segudang lainnya. udh cukup gedekah dibanding karang taruna RT?
2022-08-21,@convomfs masih ada pt indofood. selama indomie masih produksi sih gue masih bermotipasi buat idup. ini jujur kack
2022-08-21,sami sareng abi teh.cuman indihome indomie indomilk indofood yg bisa masuk 
2022-08-21,Pengen bangeeeeet di industri FMCG spesifiknya pengen banget di Unilever/Nestle sih. Kalo ga bisa disitu di Indofood atau OT group yg di Jakarta juga mau. Semoga suatu saat bisa masuk situ deh amin.
2022-08-21,@worksfess Indofood karena cinta tak butu alasan uhuy
2022-08-21,@worksfess Google IDX Paragon Unilever Indofood Nestle. Bismillah semoga kesampaian ya Allah
2022-08-21,@FOOD_FESS Opor ayam pake bumbu instan indofood wkwk. Tapi cuma muat 3 potong ayam biar kuahnya ga beleber kemana-mana
2022-08-21,@worksfess Big4/10 BI OJK IDX bca Unilever Nestle indofood p&amp;g NET google freeport tesla BMW Volkswagen pertamina PLN kai garuda Indonesia NASA Microsoft apple amazon alibaba Maruk bgt wkwk
2022-08-21,@worksfess Mayora garuda food indofood BUMN 
2022-08-21,@Saham_fess Indf krn holdingnya
2022-08-21,@FOOD_FESS favku si sasa/Indofood
2022-08-21,@jaemintvz SAHAM APA? INDOFOOD?
2022-08-21,Minta dong Wa ddstributornya https://t.co/fLICn0FwFe
2022-08-22,Yugen: IHSG Berpotensi Menguat HMSP Hingga INDF Masuk Menu Saham Pilihan https://t.co/8jGlm8laLH
2022-08-22,Lowongan Kerja Terbaru Indofood Group 2022 Informasi lebih lanjut silahkan cek di website kami : Ayoo gabung dengan kami di Channel Telegram Supaya tidak ketinggalan info terbaru dari kami https://t.co/RLuvPiducc https://t.co/zEi7w5G0Vw
2022-08-22,@worksfess Indofood: ))
2022-08-22,Wah baru tau merk-merk helm ini masih satu perusahaan yg sama. Sama kayak indofood yg punya indomie sarimi supermi dll
2022-08-22,Ada juga tulisan tentang camilan di Indofood yang bikin resah. #TerminalMojok https://t.co/rEYrMR6zFZ https://t.co/b1TJs0AQMB
2022-08-22,@rgoestama Yang udah menguasai banget kaya mie instan indofood produksi buat segala segmen daei Indomie Sarimi Intermi Supermi Sakura Telur Cap 3 Ayam real meat dan Popmie
2022-08-22,Harap harap cemas menunggu hasil recruitment indofood semoga lolos
2022-08-22,@qy_06 Tambah nasi plus sambel Indofood dah nikmat bngt
2022-08-22,Komoditas sorgum ternyata menarik juga dilihat karena indofood 
2022-08-22,@Frnsss_ @Saham_fess kebalik itu... indf induknya icbp
2022-08-23,Penghargaan dengan tema Bangkit pada Tahun Perubahan merupakan bentuk apresiasi Grup Bisnis Indonesia kepada para pelaku bisnis di Indonesia terutama korporasi yang tercatat di Bursa Efek Indonesia dan perusahaan finansial yang memiliki kinerja cemerlang.
2022-08-23,Beberapa waktu lalu PT Indofood CBP Sukses Makmur Tbk mendapatkan penghargaan sebagai emiten dan korporasi dengan kinerja terbaik untuk sektor makanan olahan dalam acara Bisnis Indonesia Award (BIA) 2022 yang diselenggarakan di Ritz Carlton Mega Kuningan Jakarta. https://t.co/OF87AOOFWY
2022-08-23,Penghargaan diterima oleh Nurulita Novi Arlaida Head of Corporate Public Relations Indofood dan Bapak Joefly J. Bahroeny Direktur PT PP London Sumatra Indonesia Tbk sebagai perwakilan perusahaan. #BisnisIndonesiaAward2022 #Indofood https://t.co/5HJsmyHltg
2022-08-23,Hadir Menteri Koordinator Bidang Perekonomian Bp Airlangga Hartarto didampingi Menteri Perindustrian Bp Agus Gumiwang Kartasasmita sebagai pembicara kunci. #BisnisIndonesiaAward2022 #Indofood https://t.co/hGFBKuVTO9
2022-08-23,Dengan tema Bangkit pada Tahun Perubahan penghargaan ini merupakan bentuk apresiasi Grup Bisnis Indonesia kepada para pelaku bisnis di Indonesia terutama korporasi yang tercatat di Bursa Efek Indonesia dan perusahaan finansial yang memiliki kinerja cemerlang.
2022-08-23,Penghargaan dalam dalam acara Bisnis Indonesia Award (BIA) 2022 yang diselenggarakan di Ritz Carlton Mega Kuningan Jakarta. #BisnisIndonesiaAward2022 #Indofood
2022-08-23,Beberapa waktu lalu PT Indofood Sukses Makmur Tbk melalui entitas anak PT Indofood CBP Sukses Makmur Tbk &amp; PT PP London Sumatra Indonesia Tbk mendapatkan penghargaan sebagai emiten dan korporasi dengan kinerja terbaik untuk sektor Makanan Olahan dan Perkebunan Kelapa Sawit. https://t.co/QGRLBm4Svu
2022-08-23,@worksfess Iya susah.. Aku juga ke indofood kayak gitu jugaa
2022-08-23,@worksfess bukan indofood doang tapi semua kerjaan susah banget
2022-08-23,IHSG diramal naik setelah terkoreksi 0 9% pada perdagangan kemarin. Analis merekomendasi saham konsumer seperti INDF dan UNVR dan saham bank seperti BBCA ARTO dan BMRI. https://t.co/p6deXydfWe
2022-08-24,@tanyakanrl Bumbu racik indofood+kecap+saos
2022-08-26,@AlmoAlgifary kenapa ga indofood aja
2022-08-26,Batas waktu penerimaan proposal sampai dengan 30 September 2022 jangan sampai ketinggalan. #IRN2022-2023 #IndofoodRisetNugraha #CSRIndofood #Indofood
2022-08-26,Bagi mahasiswa S1 dan sedang melakukan skripsi atau tugas akhir terkait pangan dapat mengikuti program ini. Yuk segera submit proposal ya! Baca persyaratannya atau kunjungi situs https://t.co/NcLWAJeQcl. https://t.co/0umhVcVAtV
2022-08-26,Dalam rangka menumbuhkan minat riset di kalangan generasi muda PT Indofood Sukses Makmur Tbk kembali menyelenggarakan Program Indofood Riset Nugraha (IRN) periode 2022/2023 dengan tema Penelitian Pangan Fungsional Berbasis Potensi &amp; Kearifan Lokal . #IRN2022-2023 #CSRIndofood https://t.co/jJQtHCNzQN
2022-08-26,Milih 3 saham ni pusing bgt ni $indf $icbp &amp; $unvr
2022-08-26,@indofood barusan mau bikin mie goreng .. tapi kemasannya kok rusak begini ya .. padahal ED nya masih lama https://t.co/o92fefXJae
2022-08-26,@MSetyanining @FOODFESS2 Delmonte itu bisa dibilang lebih murah dari merk terkenal lainnya lho. Dan byk yg jualan saus sachetnya delmonte hehe ya kalo mau lbh murah lagi pake yg indofood putih sih kek abang2 kaepci pinggir jalan ️
2022-08-26,Yusuf Fadillah Harmansyah_Akuntansi Syariah (PT. Indofood) sing uwes yo wes rausah digetuni Kembangkan Budaya Raih Prestasi #PRESISI2022 #GREBEGMILENIALUMKM #FEBIUNGGULMAHASISWAMANTUL #UINRMS https://t.co/ZBKokow1PR
2022-08-27,@giraffebiii Pop ice coklat pake meises + keju parut trus makannya kentang goreng bumbu indofood kalo gak yg barbeque yang rasa jagung bakar enaaak! Dulu pas SD sering jajan ginian
2022-08-27,Mantap lah ya cuman 11 12 sama kek kentang sebelah @indofood https://t.co/OwsCXEmK1d
2022-08-27,Tapi asli guys. Ini paling aku rekomenin sih chitato rasa limted edition. Dulu nyesel cuman beli masing rasa 1 doang tp bnran enak ini ke 3nya! Fav aku rasa kepiting! Yang rasa stickyrice gak kemanisan + rendang juga enak bgt. @mychitato @indofood min ayo munculin rasa ini lagi! https://t.co/UpyD4bWZqR
2022-08-27,2. Series Indocaffe PT. Sari Indofood Corporation Series kopi ini bermacam macam rasanya seperti masuk kedalam duniamu ada banyak rasa Yang paling terkenal adalah Indocaffe coffeemix https://t.co/mSvqmHlOHQ
2022-08-27,@kforkinsley anaknya siapa dibb? indofood?
2022-08-27,@yunayhin indofood belibis cap jempol jawara banyak jir ga pernah makan pake sambel lu yak.
2022-08-27,Jual Murah Indofood bumbu racik tumis 22 gr x 10 renceng x 20 pack/karton Digitren https://t.co/mlRbFk2eBg #bumbu-instan #dki-jakarta #jakarta-barat #pt-jaya-utama-santikah
2022-08-27,@ndrie_judith Iya kaaaan enak Tapi kenapa indofood ga produksi lagi yaa
2022-08-27,Kegiatan ini akan dilaksanakan pada bulan Agustus 2022. Untuk daftar silahkan scan barcode dalam poster atau klik link ini ya https://t.co/BGEocuJsZj Jangan sampai ketinggalan ya. Ikuti terus update informasinya di website www.indofood https://t.co/wFtOtclUap!
2022-08-27,[INFO WEBINAR] Teman Indofood bagi kamu mahasiswa S1 yang akan melakukan penelitian dalam rangka skripsi atau tugas akhir ada kabar gembira nih! Program Indofood Riset Nugraha (IRN) kembali hadir. IRN adalah program tahunan dari Indofood yang berupa bantuan dana https://t.co/cY5mjq1KHd
2022-08-29,Bamboe lupa ku sebut enak ini sih. Kayak nasi goreng di undangan kalo ku kata yah si Bamboe ama Pronas cuman si Pronas itu ada kornet ala gitu. Bango yang nasgor kambing kalo mau rasa yang jarang nemu berbumbu banget soalnya. Indofood ama Kokita itu kek rada mirip
2022-08-29,Pronas Bango Indofood Kokita Ini brand yang enak tapi di rep ada bilang Perencah. Nanti aku coba deh yah
2022-08-29,@FOODFESS2 Campuran dari bumbu nasi goreng indofood plus bumbu sama saos + kecap + minyak indomie goreng sih the best https://t.co/RxF7KPjRLq
2022-08-29,Lowongan Kerja Production Supervisor PT Oji Indo Makmur Perkasa (Indofood Group) Cikarang https://t.co/V66RpLNFdb
2022-08-29,@FOODFESS2 indofood yg cair
2022-08-29,00.19 sarimi ayam bawang bumbu royko rasa ayam bumbu aslinya di buang di tambah sambal indofood extra pedes sedikit bumbu raachaa yg bawang putih+cabe soju mangga sambil dengerin musik semi galau ngerjain laporan. BEUHHH!!!
2022-08-29,dulu sebelum ga pake bumbu instan suka bangeeeet sama yg nasigireng Indofood sampe Abang ga mau bikin kalo ga ada yg indofood
2022-08-29,@sayyedalifkhan @esshimself Indofood Bogasari supply tepung kot? Ingat gardenia sebut mereka tidak lagi beli tepong dgn federal flour. Federal flour cari market baru dgn setting up roti Massimo pula.
2022-08-29,@kinaysyfr @FOODFESS2 Dulu sukanya indofood sekarang jadi ini.
2022-08-29,@FOODFESS2 Rendang indofood.
2022-08-29,@enginafess ayo @indofood_cbp jadiin heeseung dan kawan kawannya brand ambassador mu
2022-08-29,Persib cuman bikin malu Indofood kalau bisa ngasih usulan ke mah mending cabut aja sponsor ke persib. Entah bagian apa mungkin corporate marketing sih nih
2022-08-29,Yok bisa gaet jdi bintang iklan @indofood
2022-08-29,Min @indofood next ba ni
2022-08-29,Iyaaa nih tolong kepada produsen indofood. Your bumbu instant nasi goreng is penyelamat mamak ku di minggu pagi yang cerah. Plis bgt adain lagi ! !
2022-08-29,@nindy_maharani Engga wkwk cuma dia doyan makan indomie gara2 dikasi fansnya dr indonesia terus tiap makan ngetag indomie terus akhire dikirimin indomie sekardus apa 2 kardus gt sama indofood ke korea wkwk 
2022-08-29,Indofood non racik
2022-08-29,@Askrlfess Bumbu bubuk kentang goreng indofood(?) yg rasa keju campur mayo campur saus sambal lalu diaduk tuh + telur mata sapi + nasi. Enak banget 
2022-08-29,Lowongan Kerja Indonesia Lulusan S1 Agustus 2022 di PT Indofood Sukses Makmur Tbk #Indofood #LokerMedan #LupaKerja Fresh Graduate Medan s1 S2 Seluruh Indonesia semua jurusan https://t.co/4ya3xtKoUF https://t.co/9md9KfXSA8
2022-08-29,@FOODFESS2 Racik dari indofood
2022-08-29,@FOODFESS2 Sayur sop sayur asem sayur lodeh. Belinya yg paketan di alfamidi/superindo kalo g mau repot di pasar/tukang sayur. Tinggal dipotong-potong. Beli tempe sekalian kalo ada smpingan lauknya. Bumbu beli yg racik/indofood (ikutin cara pakainya) cek rasa. Dah paling gmpang.
2022-08-29,https://t.co/GdUUKaMeF2 : PT Indofood Sukses Makmur buka 7 lowongan kerja tingkat SMA Diploma dan Sarjana https://t.co/UTHt7y7c6N https://t.co/bTcm4VHjxs
2022-08-29,$ICBP - Indofood CBP Sukses Makmur #TraderAngkringan #AnalisaSaham #Swing #Trading #Saham #ICBP https://t.co/DEPYp27BDk
2022-08-29,yaAllah pgn jadi pegawai indofood dpt indomie sekerdus
2022-08-30,@FOOD_FESS Kenapa gk ada yg pick sambel saus sasa yg ekstra pedas yah ? Tapi yg kemasan sachet yah bukan botol..Saya dh coba semua saus sambel dr abc indofood delmonte mcluwiz jawara dll tp sampai saat ini yg cocok dmn mana yah sasa ekstra pedas sachet.Dlu suka belibis skrg rubah rasanya
2022-08-30,@FOODFESS2 Indofood bumbu racik nasgor . Tp semua enak si yg penting bukan bumbu bikinanku
2022-08-30,@FOOD_FESS Indofood yang extra pedas nder di rumah ak pake saus itu terus
2022-08-30,@FOOD_FESS Indofood sih paling mantep kalau pedes. Kalau yang engganya delmonte paling enduls
2022-08-30,300822 STULAP DAY 1 - PT.INDOFOOD‼️ Seru banget gak boong walaupun bis F paling jauh sendiri sampe tidur-tidur selama perjalanan. Dapet banyak banget insight baru dikasih nyicip indomie varian baru dan dibawain Indomie berkarton-karton wkwkwk https://t.co/rXBM840gKE
2022-08-30,Sumber protein ayam utuh 800-900gr di Prima Freshmart + bumbu racik ayam goreng dari indofood harga 28k + 2k request potong 8. tinggal rebus/ungkep &amp; klo mau lanjut bs digoreng. 8 potong klo sendiri bisa buat 2hari. Lebih mantap lagi tambah tempe potong pas rebus/ungkep 
2022-08-30,Dan ini video unboxing bingkisan dari indofood. https://t.co/Kp4normFAr
2022-08-30,Info Lowongan Management Trainee/I-Fuel Sales PT Indofood CBP Sukses Makmur Tbk (Noodle Division) 2022 https://t.co/HvJgUGPKZf #iLokerja #lowongan #lowongankerja #lowker #loker #jobvacancy #jobs
2022-08-30,Indofood karena takut ngerepotin pihak indofood nanggepin orang kek aku yg protes kurang bumbu wkwkwk. Tapi baik banget pihak indofood nanggepin keluhan konsumen dengan sangat baik dan perfect deh pokoknya. Semoga kedepannya indofood makin maju 
2022-08-30,Waktu itu aku sempet iseng tanya ke @Indomielovers kek gini. Terus selang beberapa hari dapet telfon dari indofood terkait kronologi kok bisa aku dapet bumbu kek gini. Nah terus dari pihak indofood izin buat kasih bingkisan. Jujur aku sebenernya gak enak ati banget sama pihak...
2022-08-30,@aipsun Oh lagi di Indofood
2022-08-30,@bellafian20 hanya cibay sarebuan make saos eta ge saos na saos hand made si mamang na lain saos abc atau indofood hufts ‍
2022-08-30,Sebarkan informasi ini ke teman dan kerabat yang membutuhkan ya. Sampai jumpa di Webinar Program IRN 2022! #IRN2022-2023 #IndofoodRisetNugraha #CSRIndofood
2022-08-30,Dengan mengikuti webinar ini peserta juga bisa memenangkan giveaway berupa satu unit samsung tab dua external hard disk satu hp samsung dan paket buku karya Bapak Pangan Indonesia Prof. Dr. Ir. FG Winarno Msc sesuai syarat dan ketentuan yang berlaku.
2022-08-30,Daftarkan diri dengan mengakses tautan https://t.co/fo4838P1Wc untuk mengikuti webinar melalui zoom.
2022-08-30,Indofood beri bantuan dana penelitian untuk mahasiswa. Mau tau caranya? Ikuti penjelasannya dalam Webinar Indofood Riset Nugraha (IRN) dengan tema Penelitian Pangan Fungsional Berbasis Potensi &amp; Kearifan Lokal pada hari Rabu 31 Agustus 2022 pukul 08:00 WIB. #IRN2022-2023 https://t.co/xBc7WbwNLj
2022-08-30,@haechanteros @FOODFESS2 Udah gak produksi lagi sekarang diganti sama indofood bumbu racik nasi goreng yang bumbunya serbuk dan gak seenak yang lama.
2022-08-30,indofood
2022-08-30,Lowongan Kerja PT Indofood CBP Sukses Makmur Tbk Noodle Division Lokasi Seluruh indonesia https://t.co/Usx2ALLvCs https://t.co/tFQ7tBkjZb
2022-08-30,IHSG Rawan Koreksi MNC Sekuritas Sarankan Saham EXCL INDF hingga INDY https://t.co/TjmkYgSZOr
2022-08-30,@Ewok34404466 @kamel_rosidah @ronintumaritis @Bambang04482591 @agis_official Belajar jd pengusaha kang Elon Musk Google Djarum Indofood-juga punya hutang Belajar jd surveyor kang Kalau kamu dianggap ga mampu bayar cicilan-ga ada yg mau kasih kamu hutang. Lihat sekelilingmu perlu kredit motor untuk berdagang dll. Bangga? Jelas..kalau usahanya sukses
2022-08-30,@FOODFESS2 Indofood paling juara tp udh gak produksi 
2022-08-30,IHSG Dibayangi Sentimen Negatif Cek Rekomendasi MEDC PGAS ITMG INDF dan BBCA https://t.co/eeCvYQ3rGK
2022-08-30,@FOODFESS2 racik sama indofood. tpi indofood udh discontinue 
2022-08-31,Laba INDF dan ICBP Tergerus Anthoni Salim Janjikan Ini Sampai Akhir 2022 https://t.co/w6KgyBl99H
2022-08-31,Ini bukan tentang inflasi. Jika ekonomi melemah dan resesi membayangi dan harga komoditas naik tinggi. Mungkin ini yg mengakibatkan $ICBP Indofood pertama kalinya membukukan kerugian dalam LK sejak pertama kali IPO. CPI components are starting to fall like a rock. https://t.co/6d2PL1aPRp
2022-08-31,@Lulabyyy17 saos indofood biasa deh biar teu riweuh ):
2022-08-31,Indofood memulai penurunan lebih jauh dalam membentuk pattern head &amp; shoulder dg dasarnya di level 7200. Meninggalkan gap di 8600 yg sekaligus menjadi resisten utk fase penurunan ini. Selama blm tertembus akan bergerak di kisaran di 8600-8200.. Sekedar mengingatkan.. https://t.co/g169hDGSue
2022-08-31,@ustadaharu bumbu nasi gorengnya indofood life hack pling debest sihhh
2022-08-31,Pernyataan Resmi Anthoni Salim Soal Laba Bersih Duo Indofood yang Anjlok Drastis https://t.co/vTLrj2dIYc
2022-08-31,Halo @Indomielovers @indofood kenapa sekarang Indomie goreng kok kayak apek banget yaa mienya?? Atau bumbunya? Entah gatau. Udah 3 bungkus dibuka ternyata sama semua. Mau dimakan jadi mikir tapi kalau ga dimakan kelaperan di tempat kerja huaaa. Padahal belom expired loh ini https://t.co/UX2DZMafWk
2022-08-31,Berarti karena invest nya ICBP di Palm Hill kayanya trus dollar menguat. Apes tapi masa sampe 1 1 T rugi kursnya? Meski begitu gw masih yakin $INDF tetep bagus untuk investing minimal dari dividennya yg konsisten. Kalo laba gak tumbuh pun msh lah dapet 5% #disclaimer #DYOR
2022-08-31,Liat lapkeu nya $INDF gak separah $ICBP. Tapi keliatan yang bikin labanya tergerus ya beban keuangan nya ICBP. Di catatannya ternyata gara2 selisih kurs. Gokil https://t.co/eYQus2XErI
2022-08-31,Direktur Utama Indofood Anthoni Salim blak-blakan menanggapi penurunan laba yang dialami oleh perusahaannya pada semester pertama 2022. #TempoBisnis https://t.co/2NycUCdQdA
2022-08-31,Keras! Anthoni Salim Pastikan Indofood Bakal Jaga Kinerja di Tengah Ketidakpastiaan Global https://t.co/vObQYZNsIk
2022-08-31,Anthoni Salim Blak-blakan Tanggapi Penurunan Laba yang Dialami PT Indofood https://t.co/jLOt822EY0
2022-08-31,Marjin laba usaha INDF turun 16 persen sementara laba bersih turun 5 persen https://t.co/Ktp8aH95GC
2022-08-31,Kerjaan di konsultan lagi susah gaji pas pasan mana suka telat. Temen sampe keluarga nuntut supaya kerja di luar bidang sampai banyak yg bilang jangan gengsi kalo kerja di pabrik. Udah masukin lamaran banyak dari awal tahun baru aja td dapet email mengatasnamakan indofood.
2022-08-31,Market Focus: IHSG Berbalik Hijau &amp;Saham Grup Indofood Anjlok https://t.co/WSfhyxLWKm
2022-08-31,sedap goreng yg original tambahin 2 sachet saos indofood sama kasih taburan cabe bubuk yg dari sedap spicy itu lho. sama sedap rebus rasa kari ayam masaknya jgn kebanyakan air + dibikin nyemek.
2022-08-31,Turki itu isinya banyak banget orang indonya mulai dari pekerja sampe pelajar. Tapi kenapa susah banget cari saos sambal padahal peminat nya banyak banget ga cuma orang indo lho yang apa apa pake saos. Ini big market tapi kok ga disentuh nih @indofood plis masukin kaya indomie https://t.co/JxiUeI4b4V
2022-08-31,@jellyjilly2797 @Mumut_Selimut @Gilangppg @FOODFESS2 Ada monk tapi ya merk lain indofood bamboe tapi dagingnya masak bareng daging biar meresap terus tambahin daun jeruk apalagi yaa daun bawang apa ya ama bawang goreng aku sih gak tau aslinya bumbu rawon tapi kalo liat ibuku masak ada itu
2022-08-31,Penjualan Naik tapi Laba Indofood Turun Menjadi Rp2 9 Triliun https://t.co/FfZekgtHlD
2022-08-31,Saham keduanya turun sekitar 4-5% usai pengumuman kinerja. https://t.co/ZVm8IowuDS
2022-08-31,Program Indofood Riset Nugraha 2022-2023 Dibuka Cek Cara Pendaftarannya https://t.co/ixcIIotumr
2022-08-31,Pgn tuh makan indomie goreng terus di tumis indomie goreng pake telor indomie kari ayam dan ayam bawang yang kuahnya kentel bgt pake saos indofood pake kol. Huwaghhhh
2022-08-31,Kerugian Indofood CBP $ICBP didorong melemahnya GPM (gross profit margin) menjadi 29% (34 8% pada 2Q21) akibat kenaikan harga komoditas bahan baku. Selain itu ada juga lonjakan beban keuangan (+688% YoY). Pada 1H22 laba ICBP sebesar Rp 1 93 T (-40% YoY). https://t.co/JtqwswvdNv
2022-08-31,@DukunBalungan Indf icbp ya dok?
2022-08-31,@aewin86 Sama bikin patung depan indofood tower yg ga beres². Dah berapa taun masih ditutupin terpal 
2022-08-31,Indofood melalui Program Indofood Riset Nugraha (IRN) 2022 mengajak para mahasiswa berinovasi untuk menciptakan diversifikasi pangan. https://t.co/c3h7k55DXN
2022-08-31,Top Gainer Last (Rp) TUGU (+345) 2.310 RDTX (+300) 8.750 STTP (+250) 7.650 ARTO (+125) 8.300 SOHO (+100) 5.850 Top Loser Last (Rp) ITMG (-575) 38.850 UNTR (-500) 32.825 GGRM (-425) 24.025 ICBP (-425) 8.300 INDF (-275) 6.225
2022-08-31,Laba Anjlok Saham Indofood CBP (ICBP) Ikut Nyungsep https://t.co/YZqXtGXzji
2022-08-31,Rapor Transaksi Saham ICBP dan INDF Sejak Awal Tahun https://t.co/sw0LUyImXj
2022-08-31,Ada apa dengan saham mie grup #indofood ini Yg mana lebih menarik Yuk simak aaa di blog #kafein: https://t.co/foUvaAMPn2 https://t.co/1nGU5tYQrs
2022-08-31,@hadddiddd Belakang gawang soalnyaa buat ulrtras brimo ultras indofood sama ultras kopi ABC Buat selatan buat ultrans rans katanyaa
2022-08-31,@dongmin_ci @Indomielovers @indofood @offclASTRO Sekali dayung 2 3 produk di tawarin donk biar Astro betah di Indo 
