"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1863360397602070672","Sun Dec 01 23:59:16 +0000 2024","0","@Telkomsel belom juga di-dm ngemengnya doang hadehh ","1863372323665170482","","Telkomsel","in","","0","1","0","https://x.com/undefined/status/1863372323665170482","1325686853756833792",
"1863367537851080979","Sun Dec 01 23:58:42 +0000 2024","0","@Telkomsel padahal pengguna lama tp gapernah dapet promo tuh mana makin kesini sinyalnya susah lagi","1863372182287753679","","Telkomsel","in","","0","1","0","https://x.com/undefined/status/1863372182287753679","1338988579305844736",
"1863371038224171209","Sun Dec 01 23:56:41 +0000 2024","0","@pintorhs @pintorhs Sinyalnya gak stabil Kak? Maafin ya. Infoin dulu Nomor HP dan Nomor lain yang berkendala sama jika ada via DM biar dibantu cek serta privasi terjaga. Thanks -Sakia","1863371675137634431","","pintorhs","in","","0","0","0","https://x.com/undefined/status/1863371675137634431","255409050",
"1863367930102354135","Sun Dec 01 23:56:13 +0000 2024","0","@anakpjy Duuh lagi di lokasi mana nih Kak @anakpjy ? -Garra","1863371556518601016","","happybiin","in","","0","1","0","https://x.com/undefined/status/1863371556518601016","255409050",
"1863368136013299780","Sun Dec 01 23:54:38 +0000 2024","0","@aishitieru Jaringan di lokasi mana emang nih kak ? -Garra","1863371159590576205","","roscvalley","in","","0","1","0","https://x.com/undefined/status/1863371159590576205","255409050",
"1863371038224171209","Sun Dec 01 23:54:09 +0000 2024","0","Mohon di check jaringan/signal @Telkomsel sudah 3 hari tidak normal di Kel.Lirung Kec.Lirung Kab.Kep.Talaud","1863371038224171209","","","in","","0","2","0","https://x.com/undefined/status/1863371038224171209","1026916062",
"1863368050902528097","Sun Dec 01 23:53:29 +0000 2024","0","@M4RKiEW Jaringan buat di lokasi mana nih Kak ? -Garra","1863370870351446050","","M4RKiEW","in","","0","1","0","https://x.com/undefined/status/1863370870351446050","255409050",
"1863360314043154673","Sun Dec 01 23:52:41 +0000 2024","1","@axxjjae Bagus dong Kak @axxjjae jadi hemat tapi kalo misal ada kendala boleh cerita kesini ya -Garra","1863370665379901498","","axxjjae","in","","0","0","0","https://x.com/undefined/status/1863370665379901498","255409050",
"1795779744363118890","Sun Dec 01 23:51:30 +0000 2024","0","@ibgdnn Banyak penawaran menarik loohh Kak Eiri di aplikasi MyTelkomsel. Biar gak ketinggalan penawaran spesialnya cek terus tiap hari buat aplikasinya. Udah cek aplikasi hari ini belum kak ? -Garra","1863370368519663962","","ibgdnn","in","","0","0","0","https://x.com/undefined/status/1863370368519663962","255409050",
"1863369356207656967","Sun Dec 01 23:47:28 +0000 2024","0","telkomsel semakin ga di beli semakin murah paketnya:( https://t.co/AaPkAtqWdS","1863369356207656967","https://pbs.twimg.com/media/GdwEiTfaAAACHjy.jpg","","in","","0","1","0","https://x.com/undefined/status/1863369356207656967","1496408699593584640",
